t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
      793 ;        9 ;     S   ;         500 ;       ? ; entrada
     1128 ;        9 ;     S   ;         500 ;     546 ; saida
     1140 ;       15 ;     N   ;         350 ;       ? ; entrada
     1247 ;       11 ;     E   ;         300 ;       ? ; entrada
     1734 ;       11 ;     E   ;         300 ;    1017 ; saida
     1741 ;       15 ;     N   ;         350 ;     800 ; saida
     4109 ;       14 ;     N   ;         300 ;       ? ; entrada
     4199 ;       30 ;     O   ;         300 ;       ? ; entrada
     4855 ;       30 ;     O   ;         300 ;    3259 ; saida
     4906 ;       24 ;     O   ;         500 ;       ? ; entrada
     5006 ;       23 ;     S   ;         400 ;       ? ; entrada
     5024 ;       25 ;     S   ;         250 ;       ? ; entrada
     5042 ;       26 ;     S   ;         500 ;       ? ; entrada
     5091 ;       14 ;     N   ;         300 ;    4252 ; saida
     5143 ;       12 ;     N   ;         500 ;       ? ; entrada
     5158 ;       12 ;     N   ;         500 ;    4421 ; saida
     5602 ;        7 ;     N   ;         100 ;       ? ; entrada
     5630 ;        7 ;     N   ;         100 ;    5206 ; saida
     5710 ;       58 ;     N   ;         450 ;       ? ; entrada
     5731 ;       25 ;     S   ;         250 ;    4269 ; saida
     5800 ;       23 ;     S   ;         400 ;    4472 ; saida
     5845 ;       56 ;     O   ;         500 ;       ? ; entrada
     5852 ;       26 ;     S   ;         500 ;    4369 ; saida
     5897 ;       18 ;     S   ;         100 ;       ? ; entrada
     5953 ;       18 ;     S   ;         100 ;    4882 ; saida
     6000 ;       22 ;     E   ;         150 ;       ? ; entrada
     6061 ;       22 ;     E   ;         150 ;    4824 ; saida
     6070 ;       24 ;     O   ;         500 ;    4637 ; saida
     6100 ;       20 ;     E   ;         350 ;       ? ; entrada
     6153 ;       58 ;     N   ;         450 ;    2643 ; saida
     6642 ;       19 ;     N   ;          50 ;       ? ; entrada
     6658 ;       19 ;     N   ;          50 ;    5563 ; saida
     6680 ;       27 ;     N   ;         150 ;       ? ; entrada
     6694 ;       27 ;     N   ;         150 ;    5179 ; saida
     6719 ;       28 ;     N   ;         100 ;       ? ; entrada
     6894 ;        6 ;     S   ;         500 ;       ? ; entrada
     6918 ;       56 ;     O   ;         500 ;    3457 ; saida
